fullName_E;sdnType_E;program_E;city_E;country_E
AEROCARIBBEAN AIRLINES;Entity;CUBA;Havana;Cuba
ANGLO-CARIBBEAN CO., LTD.;Entity;CUBA;London;United Kingdom
BANCO NACIONAL DE CUBA;Entity;CUBA;Zurich;Switzerland
BOUTIQUE LA MAISON;Entity;CUBA;Panama City;Panama
CASA DE CUBA;Entity;CUBA;NULL;Spain
CECOEX, S.A.;Entity;CUBA;Panama City;Panama
CIMEX;Entity;CUBA;Mexico, D.F.;Mexico
CIMEX IBERICA;Entity;CUBA;NULL;Spain
CIMEX, S.A.;Entity;CUBA;NULL;Panama
COMERCIAL IBEROAMERICANA, S.A.;Entity;CUBA;NULL;Spain
COMERCIAL CIMEX, S.A.;Entity;CUBA;NULL;Panama
COMERCIAL DE RODAJES Y MAQUINARIA, S.A.;Entity;CUBA;Madrid;Spain
COMERCIALIZACION DE PRODUCTOS VARIOS;Entity;CUBA;Paris;France
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA;Entity;CUBA;NULL;Spain
CORPORACION CIMEX, S.A.;Entity;CUBA;NULL;Panama
COTEI;Entity;CUBA;Milan;Italy
CRYMSA - ARGENTINA, S.A.;Entity;CUBA;Buenos Aires;Argentina
CUBACANCUN CIGARS AND GIFT SHOPS;Entity;CUBA;Cancun;Mexico
CUBAEXPORT;Entity;CUBA;NULL;Spain
CUBAFRUTAS;Entity;CUBA;NULL;Spain
CUBAN CIGARS TRADE;Entity;CUBA;NULL;Italy
CUBANATUR;Entity;CUBA;Mexico, D.F.;Mexico
CUBATABACO;Entity;CUBA;NULL;Spain
CUMEXINT, S.A.;Entity;CUBA;Mexico City;Mexico
DELVEST HOLDING, S.A.;Entity;CUBA;Geneva;Switzerland
EDICIONES CUBANAS;Entity;CUBA;NULL;Spain
EDYJU, S.A.;Entity;CUBA;NULL;Panama
EMPRESA CUBANA DE AVIACION;Entity;CUBA;Georgetown;Guyana
EMPRESA CUBANA DE PESCADOS Y MARISCOS;Entity;CUBA;Paris;France
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL;Entity;CUBA;Buenos Aires;Argentina
ETCO INTERNATIONAL COMMODITIES LTD.;Entity;CUBA;London;United Kingdom
ETCO INTERNATIONAL COMPANY, LIMITED;Entity;CUBA;Tokyo;Japan
GALAX TRADING CO., LTD.;Entity;CUBA;Montreal;Canada
HAVIN BANK LIMITED;Entity;CUBA;London;United Kingdom
HAVANATUR;Entity;CUBA;Paris;France
INSTITUTO NACIONAL DE TURISMO DE CUBA;Entity;CUBA;NULL;Spain
INTERCONSULT;Entity;CUBA;NULL;Panama
KAVE, S.A.;Entity;CUBA;NULL;Panama
LA EMPRESA CUBANA DE FLETES;Entity;CUBA;Pyongyang;Korea, North
LEVERAGE, S.A.;Entity;CUBA;Buenos Aires;Argentina
NIREF;Entity;CUBA;Rotterdam;Netherlands
NORDSTRAND LTD.;Entity;CUBA;NULL;Liechtenstein
NORDSTRAND MARITIME AND TRADING COMPANY;Entity;CUBA;Pireas (Piraeus);Greece
