"DEPARTAMENTO DE PROPAGANDA Y AGITACIÓN (DPA)";Entity;DPRK;2017-09-11;"Democratic People's Republic of Korea"
"7TH OF TIR";Entity;Iran;2006-12-23;NULL
"ABDALLAH AZZAM BRIGADES (AAB)";Entity;Al-Qaida;2014-09-23;NULL
"ABU SAYYAF GROUP";Entity;Al-Qaida;2001-10-06;Philippines
"ABZAR BORESH KAVEH CO. (BK CO.)";Entity;Iran;2008-03-03;NULL
"ACADEMY OF NATIONAL DEFENSE SCIENCE";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
ADF;Entity;DRC;2014-06-30;"Democratic Republic of the Congo"
"AFGHAN SUPPORT COMMITTEE (ASC)";Entity;Al-Qaida;2002-01-11;Pakistan
"AL FURQAN";Entity;Al-Qaida;2004-05-11;"Bosnia and Herzegovina"
"AL MOUAKAOUNE BIDDAM";Entity;Al-Qaida;2014-06-02;Mali
"AL MOULATHAMOUN";Entity;Al-Qaida;2014-06-02;Mali
"AL MOURABITOUN";Entity;Al-Qaida;2014-06-02;Mali
"AL RASHID TRUST";Entity;Al-Qaida;2001-10-06;Pakistan
"AL WASEL AND BABEL GENERAL TRADING LLC";Entity;Iraq;2004-04-26;"United Arab Emirates"
"AL-AKHTAR TRUST INTERNATIONAL";Entity;Al-Qaida;2005-08-17;Pakistan
"AL-BASHAIR TRADING COMPANY, LTD";Entity;Iraq;2004-04-26;Iraq
"AL-HARAMAIN & AL MASJED AL-AQSA CHARITY
                FOUNDATION";Entity;Al-Qaida;2004-06-28;"Bosnia and Herzegovina"
"AL-HARAMAIN FOUNDATION (PAKISTAN)";Entity;Al-Qaida;2004-01-26;Pakistan
"AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS)";Entity;Al-Qaida;2004-09-28;"Union of the Comoros"
"AL-HARAMAIN: AFGHANISTAN BRANCH";Entity;Al-Qaida;2004-07-06;Afghanistan
"AL-HARAMAIN: ALBANIA BRANCH";Entity;Al-Qaida;2004-07-06;Albania
"AL-HARAMAIN: BANGLADESH BRANCH";Entity;Al-Qaida;2004-07-06;Bangladesh
"AL-HARAMAIN: ETHIOPIA BRANCH";Entity;Al-Qaida;2004-07-06;Ethiopia
"AL-HARAMAIN: THE NETHERLANDS BRANCH";Entity;Al-Qaida;2004-07-06;"The Netherlands"
"AL-HARAMAYN FOUNDATION (KENYA)";Entity;Al-Qaida;2004-01-26;Kenya
"AL-HARAMAYN FOUNDATION (TANZANIA)";Entity;Al-Qaida;2004-01-26;Tanzania
"AL-ITIHAAD AL-ISLAMIYA / AIAI";Entity;Al-Qaida;2001-10-06;NULL
"AL-KAWTHAR MONEY EXCHANGE";Entity;Al-Qaida;2018-03-06;Iraq
"AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT";Entity;Al-Qaida;2014-05-14;"Syrian Arab Republic"
AL-QAIDA;Entity;Al-Qaida;2001-10-06;NULL
"AL-QAIDA IN IRAQ";Entity;Al-Qaida;2004-10-18;NULL
"AL-QAIDA IN THE ARABIAN PENINSULA (AQAP)";Entity;Al-Qaida;2010-01-19;NULL
AL-SHABAAB;Entity;Somalia;2010-04-12;NULL
"ALFA COMPANY LIMITED FOR INTERNATIONAL TRADING AND MARKETING";Entity;Iraq;2004-06-02;Jordan
"AMIN INDUSTRIAL COMPLEX";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"AMMUNITION AND METALLURGY INDUSTRIES GROUP (AMIG)";Entity;Iran;2007-03-24;NULL
"AMROGGANG DEVELOPMENT BANKING CORPORATION";Entity;DPRK;2012-05-02;"Democratic People's Republic of Korea"
"ANSAR AL CHARIA BENGHAZI";Entity;Al-Qaida;2014-11-19;NULL
"ANSAR AL CHARIA DERNA";Entity;Al-Qaida;2014-11-19;NULL
"ANSAR AL-ISLAM";Entity;Al-Qaida;2003-02-24;NULL
"ANSAR AL-SHARI’A IN Tunisia (AAS-T)";Entity;Al-Qaida;2014-09-23;Tunisia
"ANSAR EDDINE";Entity;Al-Qaida;2013-03-20;Mali
"ANSARUL MUSLIMINA FI BILADIS SUDAN";Entity;Al-Qaida;2014-06-26;Nigeria
"ARMAMENT INDUSTRIES GROUP (AIG)";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"ARMED ISLAMIC GROUP";Entity;Al-Qaida;2001-10-06;Algeria
"ASBAT AL-ANSAR";Entity;Al-Qaida;2001-10-06;Lebanon
"AVIATRANS ANSTALT";Entity;Iraq;2004-04-26;Liechtenstein
"Al-ARABI TRADING COMPANY";Entity;Iraq;2004-04-26;Iraq
"BANK OF EAST LAND";Entity;DPRK;2013-01-22;"Democratic People's Republic of Korea"
"BARZAGANI TEJARAT TAVANMAD SACCAL COMPANIES";Entity;Iran;2008-03-03;NULL
"BEHINEH TRADING CO.";Entity;Iran;2012-04-18;"Iran (Islamic Republic of)"
"BENEVOLENCE INTERNATIONAL FOUNDATION";Entity;Al-Qaida;2002-11-21;"United States of America"
"BUTEMBO AIRLINES (BAL)";Entity;DRC;2007-03-29;"Democratic Republic of the Congo"
"COMISIÓN MILITAR CENTRAL DEL PARTIDO DE LOS TRABAJADORES DE
COREA (CMC)";Entity;DPRK;2017-09-11;"Democratic People's Republic of Korea"
"CHANG AN SHIPPING & TECHNOLOGY";Entity;DPRK;2018-03-30;China
"CHONGCHONGANG SHIPPING COMPANY";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"CHONMYONG SHIPPING CO";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"COMPAGNIE AERIENNE DES GRANDS LACS (CAGL) ; GREAT LAKES
BUSINESS COMPANY (GLBC)";Entity;DRC;2007-03-29;"Democratic Republic of the Congo"
"CONGOMET TRADING HOUSE";Entity;DRC;2007-03-29;NULL
"CRUISE MISSILE INDUSTRY GROUP";Entity;Iran;2007-03-24;NULL
"DAEDONG CREDIT BANK (DCB)";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"DCB FINANCE LIMITED";Entity;DPRK;2016-11-30;"British Virgin Islands"
